name,fuel,pmin,pmax,ramp_up,ramp_down,marginal_cost
LNG_001,LNG,334.4,880.0,880.0,880.0,55830.41
LNG_002,LNG,334.4,880.0,880.0,880.0,62967.1
LNG_003,LNG,334.4,880.0,880.0,880.0,60477.06
LNG_004,LNG,342.0,900.0,900.0,900.0,57649.01
LNG_005,LNG,334.4,880.0,880.0,880.0,55761.82
LNG_006,LNG,209.0,550.0,550.0,550.0,66573.91
LNG_007,LNG,334.4,880.0,880.0,880.0,62346.21
LNG_008,LNG,209.0,550.0,550.0,550.0,63537.76
LNG_009,LNG,209.0,550.0,550.0,550.0,67676.68
LNG_010,LNG,167.2,440.0,440.0,440.0,49357.03
LNG_011,LNG,376.2,990.0,990.0,990.0,65574.15
LNG_012,LNG,292.6,770.0,770.0,770.0,55619.45
LNG_013,LNG,334.4,880.0,880.0,880.0,54366.9
LNG_014,LNG,376.2,990.0,990.0,990.0,72059.67
LNG_015,LNG,376.2,990.0,990.0,990.0,64872.44
LNG_016,LNG,376.2,990.0,990.0,990.0,66003.37
LNG_017,LNG,376.2,990.0,990.0,990.0,68679.06
LNG_018,LNG,209.0,550.0,550.0,550.0,73861.52
LNG_019,LNG,334.4,880.0,880.0,880.0,58478.66
LNG_020,LNG,334.4,880.0,880.0,880.0,64283.77
LNG_021,LNG,334.4,880.0,880.0,880.0,56358.99
LNG_022,LNG,334.4,880.0,880.0,880.0,64847.22
LNG_023,LNG,376.2,990.0,990.0,990.0,66810.11
LNG_024,LNG,334.4,880.0,880.0,880.0,59556.99
LNG_025,LNG,292.6,770.0,770.0,770.0,53224.56
LNG_026,LNG,209.0,550.0,550.0,550.0,64542.52
LNG_027,LNG,209.0,550.0,550.0,550.0,69826.69
Coal_001,Coal,440.0,1100.0,726.0,726.0,74247.67
Coal_002,Coal,400.0,1000.0,660.0,660.0,60494.62
Coal_003,Coal,400.0,1000.0,660.0,660.0,61282.49
Coal_004,Coal,400.0,1000.0,660.0,660.0,67436.0
Coal_005,Coal,360.0,900.0,594.0,594.0,55180.85
LNG_028,LNG,334.4,880.0,880.0,880.0,56531.78
LNG_029,LNG,323.0,850.0,850.0,850.0,53297.81
LNG_030,LNG,159.6,420.0,420.0,420.0,49771.48
LNG_031,LNG,304.0,800.0,800.0,800.0,55654.68
Coal_006,Coal,280.0,700.0,462.0,462.0,53911.28
Coal_007,Coal,280.0,700.0,462.0,462.0,48978.61
