기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2024/12/31,84.86,81.4,80.48,80.48,80.48,80.48,83.85,92.53,142.95,158.05,131.37,127.59,122.66,122.66,122.66,122.66,122.85,122.99,123.06,109.49,92.53,92.53,92.53,92.53,158.05,80.48,108.15
2024/12/30,81.11,79.03,79.03,79.03,79.03,79.03,81.11,92.64,142.95,164.91,160.05,154.79,137.81,137.72,137.63,157.72,137.16,141.2,132.59,122.57,115.43,92.96,92.64,92.64,164.91,79.03,118.73
2024/12/29,92.11,83.88,82.48,81.64,81.8,82.48,83.88,83.88,83.88,79.8,79.14,78.55,73.69,78.55,78.43,80.13,83.88,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,73.69,85.51
2024/12/28,91.9,90.72,87.23,84.67,84.67,86.62,92.88,93.83,93.83,93.83,93.83,93.83,93.31,93.22,92.85,92.96,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,93.83,84.67,92.19
2024/12/27,88.68,81.71,81.71,81.71,81.71,81.71,84.57,116.29,143,150.71,140.42,142.45,136.93,143.06,136.73,150.82,136.73,128.83,128.76,120.02,109.49,92.27,92.04,93.12,150.82,81.71,116.57
2024/12/26,92.17,91.09,81.25,81.25,81.25,91.55,92.64,120.3,143.7,164.06,168.78,158.68,143.62,136.95,136.95,143.07,136.62,133.71,132.59,122.94,115.32,92.62,92.62,92.64,168.78,81.25,121.42
2024/12/25,103.43,92.54,92.15,91.63,91.82,91.89,92.38,117.23,118.82,123.24,145.72,143.84,118.83,118.83,118.81,118.81,118.83,118.84,118.37,116.07,102.67,102.3,102,102.17,145.72,91.63,110.88
2024/12/24,102.27,91.67,91.67,91.5,91.67,96.57,102.02,141.2,144.78,166.22,159.95,144.76,141.22,143.01,143.4,144.52,143.19,143.5,143.5,141.2,121.77,101.09,101.5,101.98,166.22,91.5,126.51
2024/12/23,122.02,91.2,89.11,89.11,88.64,91.59,92.32,113.79,157.38,172.49,161.61,154.54,142.92,143.03,143.1,144.36,143.03,141.68,143.23,143.23,135.95,118.47,118.41,102.62,172.49,88.64,129.42
2024/12/22,98.4,84.54,84.54,84.54,84.54,84.57,92.3,92.97,93.03,120.68,93.2,105.57,105.05,105.17,93.2,92.95,105.13,105.8,105.8,105.81,105.44,103.69,103.71,93.61,120.68,84.54,97.84
2024/12/21,92.76,91.88,91.69,81.69,81.69,83.01,92.32,101.7,102.5,107.95,143.04,143.27,102.27,102.4,102.48,102.32,102.36,102.5,102.51,108.57,108.51,93.22,93.06,93.22,143.27,81.69,101.38
2024/12/20,102.92,91.52,91.11,82.33,91.19,91.48,101.64,117.2,151.31,163.56,158.24,158.21,142.63,142.79,158.23,167.14,142.8,142.52,138.23,136.54,133.1,114.93,101.28,116.45,167.14,82.33,128.94
2024/12/19,102.64,91.57,91.28,82.66,91.17,91.87,111.76,116.28,143.33,172.12,162.3,153.47,141.85,142,143.33,145.85,143.57,143.33,141.73,141.2,135.81,120.02,107.98,110.54,172.12,82.66,128.02
2024/12/18,92.1,91.34,91.12,82.13,82.13,92.08,111.76,116.6,143.61,230.82,151.02,144.41,141.47,141.46,141.46,141.47,141.47,141.19,141.2,136.48,141.19,120.77,114.78,115.08,230.82,82.13,129.39
2024/12/17,93.08,84.67,82.02,82.02,82.02,91.56,96.54,141.2,145.49,145.88,145.85,145.84,140.86,142.35,143.81,145.83,142.3,140.86,142.22,137.95,141.19,119.76,101.93,100.84,145.88,82.02,124.52
2024/12/16,111.06,99.87,80.38,80.34,80.38,111.41,100.92,134.1,146.9,170.67,146.9,146.9,141.23,146.9,161.49,146.9,143.41,142.79,140.34,139.4,136.34,135.78,141.2,116.31,170.67,80.34,131.87
2024/12/15,98.4,83.15,83.15,82.32,82.32,83.15,92.18,96.58,111.86,102.33,133.48,133.67,133.67,133.67,133.67,102.56,102.85,110.46,110.63,110.98,102.86,111.16,102.38,102.39,133.67,82.32,105.73
2024/12/14,103.49,92.66,92.12,91.67,91.7,92.25,96.32,101.03,103.13,103.09,103.11,103.24,99.57,102.76,102.78,103.37,103.87,103.61,103.93,103.38,103.38,102.84,102.95,101.51,103.93,91.67,100.41
2024/12/13,108.02,98.56,91.58,91.13,91.66,111.58,101.9,141.19,154.1,166.91,154.01,143.07,136.22,137.27,137.22,141.99,143.08,142.66,142.66,141.2,117.27,123.01,141.19,111.93,166.91,91.13,129.67
2024/12/12,102.61,91.54,91.61,91.18,91.52,91.71,112.75,120.77,158.57,158.57,162.48,156.04,137.8,137.72,137.72,137.72,156.04,145.72,142.66,143.07,136.02,122.66,122.66,116.35,162.48,91.18,129.52
2024/12/11,111.93,83.43,82.1,82.1,82.1,91.46,106.25,121.62,153.64,156.04,159.67,153.64,137.97,143.06,143.07,158.57,153.64,143.4,143.41,137,136.09,112.28,120.02,118.32,159.67,82.1,128.36
2024/12/10,106.1,82.77,80.77,80.77,80.77,91.53,93.38,146.28,147.99,147.99,160.16,147.13,138.02,146.33,147.13,158.57,148.06,147.99,141.64,136.87,136.23,141.19,122.66,120.16,160.16,80.77,129.2
2024/12/09,86.15,80.35,80.35,80.35,80.35,80.35,85.17,121.98,160.21,171.9,161.16,147.95,136.67,136.67,144.44,136.67,136.67,136.67,133.7,124.07,122.5,132.52,106.25,101.66,171.9,80.35,123.25
2024/12/08,92.06,83.18,83.18,80.94,82.17,83.18,92.11,92.15,92.15,80.59,89.43,80.24,6.19,76.67,80.24,80.59,91.86,103.84,103.84,103.84,103.85,103.85,103.49,93.61,103.85,6.19,87.96
2024/12/07,92.89,88.87,86.59,84.71,84.71,87.13,92.29,93.19,93.19,93.19,102.61,119.14,108.36,108.45,102.3,102.18,103.18,103.18,102.62,102.62,102.27,93.19,93.19,93.19,119.14,84.71,97.34
