기간,연료단가,,,,,열량단가,,,,,연료비단가,,,,
,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG
,원/kWh,원/ton,원/ton,원/kl,원/ton,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/kWh,원/kWh,원/kWh,원/kWh,원/kWh
2026/04,6.46697,175106.432839,205888.063892,1272212.579493,913260.181623,2600.253359,33480.689892,39213.5,140027.474765,69680.926974,6.46697,75.161779,101.149488,342.99241,120.413982
2026/03,6.45769155296,177237.50429041,205888.063892478,1271990.01387012,871536.085924325,2596.47600767754,33835.3229631659,37357.5,139746.420150659,66286.7966645666,6.45769155296,75.82815347668,96.3620172299,342.17416366461,114.88589966
2026/02,6.444466,167233.584945,192803.24545,1276586.621742,896142.88334,2591.207294,31839.569288,31949.5,139375.16855,68393.690265,6.444466,71.341684,82.412351,341.060949,118.812666
2026/01,6.431106,164128.957055,139822.214181,1276036.907683,893087.892023,2585.880998,31579.881862,25936,139367.345951,67808.023441,6.431106,70.749472,66.900767,341.038744,117.719343
2025/12,6.42739832,155272.31962419,85883.88249953,1278332.09040618,836606.81259998,2584.38963532,29446.65193337,21638.5,139547.27815443,63540.05732084,6.42739832,66.01078896,55.81576487,341.55547685,110.09906787
2025/11,6.423363,156030.615359,79776.603136,1280402.905771,837415.923153,2582.7751757,29505.541877,21218,139752.32693,63581.049705,6.423363,65.903511,54.73122,342.143952,110.078446
2025/10,6.41679845702,154552.922906628,200224.838442382,1262330.88750326,879195.934246301,2580.194049904,29168.281860597,37300.5,137673.016195857,66682.890418001,6.41679845702,65.09821784286,96.21495396439,337.11320334827,115.53112086493
2025/09,6.40385168,158005.38738888,117277.98832323,1278748.70577266,918261.63473933,2575.30902111,29969.68834584,27926,139865.48248588,69557.23281977,6.40385168,66.88834798,72.03387147,342.4618241,120.56720722
2025/08,6.4,165528.86,0,1147206.87,897548.29,2571.82,31768.7,15203,126172.93,68063.08,6.4,70.87,39.22,309.97,118
2025/07,6.39,172532.5,0,1140197.82,915218.7,2568.45,33127.94,13364.5,125472.69,69424.35,6.39,73.98,34.47,307.82,120.85
2025/06,6.38,185571.6,169865.9,1141814.46,963161.22,2565.62,35667.66,37476,125465.38,73406.64,6.38,79.57,96.67,307.8,127.37
2025/05,6.38,182737.52,154041.92,1139683.71,991586.62,2565.03,35403.8,34903.5,125474.08,75576.07,6.38,78.81,90.03,307.82,131.05
2025/04,6.38,192613.96,166001.37,1140855.94,1024345.93,2560.39,37198.18,38335,125444.44,78072.76,6.37,82.73,98.88,307.74,135.6
2025/03,6.37,186153.09,145176.21,1143655.4,981311.47,2561.26,35943.12,33892,125609.62,74817.05,6.37,80.05,87.42,308.21,129.76
2025/02,6.37,182458.64,177211.94,1144133.59,1036358,2562.38,35057.45,34173,125673.94,76812.79,6.37,78.09,88.15,308.4,132.89
2025/01,6.38,178709.7,101145.41,1141742.64,1038398.55,2565.23,34243.01,26157,125480.16,79153.1,6.38,76.39,67.47,307.83,138.61
2024/12,6.38,188660.44,69677.39,1141204.01,1054519.88,2565.66,36135.39,26035,125432.57,82687.26,6.38,80.41,67.16,307.69,141.28
2024/11,6.397,181707.102,166982.028,1141710.12,1013544.193,2572.534,34341.967,32830.5,125116.3,77950.727,6.397,76.411,84.685,306.96,135.482
2024/10,6.4,179646.23,164975.15,1240388.99,1023141.14,2574.98,33762.09,33298.5,135803.5,78220.26,6.4,75.15,85.89,332.81,136.82
2024/09,6.41,177506.2,163032.69,1297419.41,1062302.96,2576.78,33771.88,34989.5,142366.52,81288.74,6.41,75.15,90.25,348.53,142.2
2024/08,6.4115,174054.73,148549.563,1333535.459,1049279.537,2578.217,34139.384,32013.5,146948.974,80314.96,6.412,75.977,82.577,359.503,140.51
2024/07,6.413,184557.252,185316.657,1334726.14,984631.575,2578.879,35230.067,39712,147127.344,76053.035,6.413,78.269,102.435,360.015,133.075
2024/06,6.421,184321.395,188792.118,1328714.288,966326.702,2582.108,35232.428,37762.5,146698.078,74578.377,6.421,78.273,97.406,358.215,130.587
