연도,호기,차수,시작일,종료일,총일수
2011,고리1호기,28,2011-01-13,2011-02-01,19.3
2011,고리3호기,20,2011-04-04,2011-05-05,31
2011,고리4호기,20,2011-09-17,2011-10-09,22.2
2011,한빛2호기,19,2011-08-29,2011-09-30,32.4
2011,한빛3호기,13,2011-05-19,2011-06-21,32.9
2011,한빛4호기,12,2011-02-08,2011-03-11,31.5
2011,한빛6호기,7,2011-06-20,2011-07-14,24.2
2011,월성4호기,10,2011-11-26,2011-12-19,22.7
2011,한울2호기,17,2011-09-14,2011-11-26,73.5
2011,한울3호기,10,2011-02-26,2011-03-31,33.3
2011,한울4호기,10,2011-09-09,2013-08-14,704.7
2011,한울5호기,6,2011-11-24,2011-12-21,27.4
2011,한울6호기,5,2011-06-08,2011-07-01,22.4
2012,고리1호기,29,2012-02-04,2012-03-04,29.2
2012,고리2호기,25,2012-03-07,2012-04-25,49.1
2012,고리3호기,21,2012-09-03,2012-11-21,79.5
2012,신고리1호기,1,2012-01-02,2012-02-20,48.9
2012,한빛1호기,20,2012-02-23,2012-03-23,28.8
2012,한빛3호기,14,2012-10-18,2013-06-10,235.5
2012,한빛4호기,13,2012-06-06,2012-07-19,42.7
2012,한빛5호기,8,2012-04-30,2012-05-31,31.5
2012,한빛6호기,8,2012-11-06,2013-01-03,57.8
2012,월성1호기,22,2012-06-23,2012-07-29,36.2
2012,월성2호기,12,2012-02-10,2012-03-06,24.9
2012,월성3호기,11,2012-03-17,2012-04-26,39.9
2012,한울1호기,18,2012-03-03,2012-05-12,70.5
2012,한울3호기,11,2012-06-30,2012-10-19,110.7
2012,한울6호기,6,2012-10-25,2012-12-06,42.5
2013,고리1호기,30,2013-04-12,2013-10-05,175.9
2013,고리2호기,26,2013-05-11,2013-07-18,68.4
2013,고리4호기,21,2013-01-30,2013-05-02,91.6
2013,신고리1호기,2,2013-04-08,2014-01-04,271.6
2013,신고리2호기,1,2013-05-29,2014-01-11,226.5
2013,한빛1호기,21,2013-08-28,2013-11-04,68
2013,한빛2호기,20,2013-02-01,2013-04-22,80.1
2013,한빛4호기,14,2013-11-14,2014-03-15,121.5
2013,한빛5호기,9,2013-12-12,2014-03-15,93.6
2013,월성2호기,13,2013-04-23,2013-06-27,64.7
2013,월성3호기,12,2013-06-15,2013-07-19,34.3
2013,월성4호기,11,2013-02-23,2013-04-06,41.6
2013,신월성1호기,1,2013-05-29,2014-01-04,219.9
2013,한울1호기,19,2013-10-01,2013-11-10,39.9
2013,한울2호기,18,2013-04-10,2013-05-22,42.5
2013,한울5호기,7,2013-05-03,2013-06-16,44.5
2014,고리1호기,31,2014-02-25,2014-04-17,51.5
2014,고리3호기,22,2014-02-08,2014-04-08,59.5
2014,고리4호기,22,2014-08-08,2014-09-26,49.2
2014,한빛2호기,21,2014-09-06,2014-11-19,74.4
2014,한빛3호기,15,2014-10-17,2015-04-12,177.1
2014,한빛6호기,9,2014-05-16,2014-07-18,63.6
2014,월성2호기,14,2014-07-04,2014-08-07,33.6
2014,월성3호기,13,2014-09-13,2014-11-02,49.7
2014,월성4호기,12,2014-05-17,2014-07-16,60.6
2014,한울2호기,19,2014-10-23,2014-12-17,55.4
2014,한울3호기,12,2014-03-08,2014-10-03,209.4
2014,한울5호기,8,2014-11-14,2015-01-01,48.6
2014,한울6호기,7,2014-04-07,2014-05-17,39.7
2015,고리1호기,32,2015-04-25,2015-06-27,62.8
2015,고리2호기,27,2015-01-02,2015-03-19,76.5
2015,고리3호기,23,2015-07-13,2015-09-19,68.4
2015,신고리1호기,3,2015-07-22,2015-09-06,46.1
2015,신고리2호기,2,2015-02-23,2015-04-12,48.2
2015,한빛1호기,22,2015-03-13,2015-05-13,61.4
2015,한빛4호기,15,2015-08-06,2015-12-16,132.3
2015,한빛5호기,10,2015-08-10,2015-10-17,68.2
2015,한빛6호기,10,2015-12-05,2016-02-16,73.1
2015,월성1호기,23,2015-03-16,2015-06-23,99.2
2015,월성2호기,15,2015-10-01,2015-11-05,35.1
2015,월성3호기,14,2015-12-13,2016-01-23,40.6
2015,월성4호기,13,2015-08-18,2015-10-04,46.8
2015,신월성1호기,2,2015-04-02,2015-07-11,100.3
2015,한울1호기,20,2015-04-29,2015-06-10,42.2
2015,한울4호기,11,2015-01-27,2015-03-24,56.3
