date,hour,demand,re,net_demand,smp_model,smp_actual,smp_error,marginal_fuel
2024-05-16,1,53331.0,863.757102,52467.242898,59825.84,105050.0,-45224.16,Coal
2024-05-16,2,51632.0,924.7773060000001,50707.222694,59556.99,91070.0,-31513.010000000002,LNG
2024-05-16,3,50756.0,951.808457,49804.191543,59077.31,90700.0,-31622.690000000002,Coal
2024-05-16,4,50241.0,983.4613519999999,49257.538648,59077.31,91300.0,-32222.690000000002,Coal
2024-05-16,5,50441.0,1039.122437,49401.877563,59077.31,94590.0,-35512.69,Coal
2024-05-16,6,51332.0,1007.4385050000001,50324.561495,59556.99,105050.0,-45493.01,LNG
2024-05-16,7,53543.0,1319.142559,52223.857441,59825.84,105050.0,-45224.16,Coal
2024-05-16,8,55274.0,2331.153895,52942.846105,59825.84,113980.0,-54154.16,Coal
2024-05-16,9,56802.0,3655.268884,53146.731116,60477.06,134650.0,-74172.94,LNG
2024-05-16,10,56486.0,4865.813787,51620.186213,59750.22,140340.0,-80589.78,Coal
2024-05-16,11,54799.0,5573.714289,49225.285711000004,59077.31,135670.0,-76592.69,Coal
2024-05-16,12,51822.0,6298.243679,45523.756321,57649.01,132330.0,-74680.98999999999,LNG
2024-05-16,13,49045.0,6889.358754,42155.641246,56531.78,132230.0,-75698.22,LNG
2024-05-16,14,51918.0,6932.120889,44985.879111,57649.01,146210.0,-88560.98999999999,LNG
2024-05-16,15,53862.0,6746.749986000001,47115.250014,57902.25,146210.0,-88307.75,Coal
2024-05-16,16,56086.0,5855.762987,50230.237013,59556.99,134880.0,-75323.01000000001,LNG
2024-05-16,17,59449.0,4575.163302999999,54873.836697,60494.62,146210.0,-85715.38,Coal
2024-05-16,18,61964.0,3128.2831450000003,58835.716855,61484.72,159480.0,-97995.28,Coal
2024-05-16,19,64460.0,1908.320781,62551.679219,62967.1,133450.0,-70482.9,LNG
2024-05-16,20,65411.0,1412.6260790000001,63998.373921,63817.06,135810.0,-71992.94,Coal
2024-05-16,21,64498.0,1185.680101,63312.319899,63817.06,135570.0,-71752.94,Coal
2024-05-16,22,62425.0,914.171392,61510.828608,62403.29,130030.0,-67626.70999999999,Coal
2024-05-16,23,61221.0,593.8750210000001,60627.124979,62346.21,124650.0,-62303.79,LNG
2024-05-16,24,59321.0,579.866405,58741.133595,61282.49,113600.0,-52317.51,Coal
2024-05-22,1,56711.0,67.143134,56643.856866,61207.11,114620.0,-53412.89,Coal
2024-05-22,2,54797.0,59.174651999999995,54737.825348,60494.62,114710.0,-54215.38,Coal
2024-05-22,3,53886.0,73.166041,53812.833959,60477.06,98970.0,-38492.94,LNG
2024-05-22,4,53832.0,76.822383,53755.177617,60477.06,95110.0,-34632.94,LNG
2024-05-22,5,53755.0,86.340481,53668.659519,60477.06,95110.0,-34632.94,LNG
2024-05-22,6,54393.0,115.225684,54277.774316,60494.62,101860.0,-41365.38,Coal
2024-05-22,7,56250.0,483.42744700000003,55766.572553,60805.87,114460.0,-53654.13,Coal
2024-05-22,8,59019.0,1222.886661,57796.113339,61276.98,113600.0,-52323.02,Coal
2024-05-22,9,61204.0,2322.458002,58881.541998,61484.72,138720.0,-77235.28,Coal
2024-05-22,10,61069.0,3569.704415,57499.295585,61276.98,142520.0,-81243.01999999999,Coal
2024-05-22,11,60008.0,4197.86592,55810.13408,60805.87,137400.0,-76594.13,Coal
2024-05-22,12,58124.0,4800.231547,53323.768453,60477.06,142230.0,-81752.94,LNG
2024-05-22,13,56197.0,5141.820726,51055.179274,59750.22,135680.0,-75929.78,Coal
2024-05-22,14,60055.0,5165.741988,54889.258012,60494.62,135680.0,-75185.38,Coal
2024-05-22,15,62404.0,4821.246341,57582.753659,61276.98,142540.0,-81263.01999999999,Coal
2024-05-22,16,64373.0,4178.833208999999,60194.166791,62346.21,137060.0,-74713.79000000001,LNG
2024-05-22,17,66539.0,3460.773387,63078.226613,63537.76,140630.0,-77092.23999999999,LNG
2024-05-22,18,67340.0,2538.0392460000003,64801.960754,64283.77,141570.0,-77286.23000000001,LNG
2024-05-22,19,68434.0,1737.7579119999998,66696.242088,64368.07,141980.0,-77611.93,LNG
2024-05-22,20,68837.0,1406.002364,67430.997636,64594.01,149100.0,-84505.98999999999,Coal
2024-05-22,21,67553.0,1263.38614,66289.61386,64368.07,153710.0,-89341.93,LNG
