date,hour,mean_smp,p5_smp,p95_smp,smp_pre,mean_curtailment
2024-05-16,1,64354.13355749995,64354.1335575,64354.1335575,64354.1335575,0.0
2024-05-16,2,63313.33688999998,63313.336890000006,63313.336890000006,63313.336890000006,0.0
2024-05-16,3,63263.01978000007,63263.019779999995,63263.019779999995,63263.019779999995,0.0
2024-05-16,4,62988.97674999997,62988.97675,62988.97675,62988.97675,0.0
2024-05-16,5,63043.04877000008,63043.04877,63043.04877,63043.04877,0.0
2024-05-16,6,63314.75064000007,63314.75064,63314.75064,63314.75064,0.0
2024-05-16,7,64352.79864000006,64352.79864,64352.79864,64352.79864,0.0
2024-05-16,8,64470.993319999965,64470.99332,64470.99332,64470.99332,0.0
2024-05-16,9,64469.47405999998,64469.47406,64469.47406,64469.47406,0.0
2024-05-16,10,64028.81571999995,64028.81572,64028.81572,64028.81572,0.0
2024-05-16,11,62988.97674999997,62988.97675,62988.97675,62988.97675,0.0
2024-05-16,12,58928.55484999999,58928.55485,58928.55485,58928.55485,0.0
2024-05-16,13,55758.07825999997,55758.07826,55758.07826,55758.07826,0.0
2024-05-16,14,58012.64293000002,58012.64293,58012.64293,58012.64293,0.0
2024-05-16,15,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-05-16,16,63313.33688999998,63313.336890000006,63313.336890000006,63313.336890000006,0.0
2024-05-16,17,65124.900499999996,65124.900499999996,65124.900499999996,65124.900499999996,0.0
2024-05-16,18,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-05-16,19,66412.90554249994,66412.9055425,66412.9055425,66412.9055425,0.0
2024-05-16,20,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-05-16,21,66835.54505999997,66835.54506,66835.54506,66835.54506,0.0
2024-05-16,22,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-05-16,23,66679.63474000005,66679.63474000001,66679.63474000001,66679.63474000001,0.0
2024-05-16,24,66036.92351249992,66036.9235125,66036.9235125,66036.9235125,0.0
2024-05-22,1,65290.74964000002,65290.74964,65290.74964,65290.74964,0.0
2024-05-22,2,65124.900499999996,65124.900499999996,65124.900499999996,65124.900499999996,0.0
2024-05-22,3,64470.993319999965,64470.99332,64470.99332,64470.99332,0.0
2024-05-22,4,64824.88962250006,64824.8896225,64824.8896225,64824.8896225,0.0
2024-05-22,5,64824.88962250006,64824.8896225,64824.8896225,64824.8896225,0.0
2024-05-22,6,64872.72845999997,64872.72846,64872.72846,64872.72846,0.0
2024-05-22,7,65290.74964000002,65290.74964,65290.74964,65290.74964,0.0
2024-05-22,8,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-05-22,9,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-05-22,10,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-05-22,11,65290.74964000002,65290.74964,65290.74964,65290.74964,0.0
2024-05-22,12,64470.993319999965,64470.99332,64470.99332,64470.99332,0.0
2024-05-22,13,63377.053359999925,63377.05336,63377.05336,63377.05336,0.0
2024-05-22,14,65124.900499999996,65124.900499999996,65124.900499999996,65124.900499999996,0.0
2024-05-22,15,65971.60961000004,65971.60961,65971.60961,65971.60961,0.0
