date,hour,scenario,smp_pre,smp_post,delta_smp,curtailment
2024-05-16,1,Case_A_zero,63991.63435,63991.63435,0.0,0.0
2024-05-16,2,Case_A_zero,63210.13003,63210.13003,0.0,0.0
2024-05-16,3,Case_A_zero,62921.69588,62921.69588,0.0,0.0
2024-05-16,4,Case_A_zero,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,5,Case_A_zero,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,6,Case_A_zero,62988.97675,62988.97675,0.0,0.0
2024-05-16,7,Case_A_zero,63377.05336,63377.05336,0.0,0.0
2024-05-16,8,Case_A_zero,64279.372975,64279.372975,0.0,0.0
2024-05-16,9,Case_A_zero,64352.79864,64352.79864,0.0,0.0
2024-05-16,10,Case_A_zero,63313.336890000006,63313.336890000006,0.0,0.0
2024-05-16,11,Case_A_zero,61801.3677275,61801.3677275,0.0,0.0
2024-05-16,12,Case_A_zero,57467.08805,57467.08805,0.0,0.0
2024-05-16,13,Case_A_zero,54459.582630000004,54459.582630000004,0.0,0.0
2024-05-16,14,Case_A_zero,56554.91146,56554.91146,0.0,0.0
2024-05-16,15,Case_A_zero,59473.1599,59473.1599,0.0,0.0
2024-05-16,16,Case_A_zero,62988.97675,62988.97675,0.0,0.0
2024-05-16,17,Case_A_zero,64354.1335575,64354.1335575,0.0,0.0
2024-05-16,18,Case_A_zero,65855.04684,65855.04684,0.0,0.0
2024-05-16,19,Case_A_zero,66612.91226000001,66612.91226000001,0.0,0.0
2024-05-16,20,Case_A_zero,66765.66495,66765.66495,0.0,0.0
2024-05-16,21,Case_A_zero,66745.09354999999,66745.09354999999,0.0,0.0
2024-05-16,22,Case_A_zero,66612.91226000001,66612.91226000001,0.0,0.0
2024-05-16,23,Case_A_zero,66523.2466675,66523.2466675,0.0,0.0
2024-05-16,24,Case_A_zero,65855.04684,65855.04684,0.0,0.0
2024-05-16,1,Case_B_floor,63991.63435,63991.63435,0.0,0.0
2024-05-16,2,Case_B_floor,63210.13003,63210.13003,0.0,0.0
2024-05-16,3,Case_B_floor,62921.69588,62921.69588,0.0,0.0
2024-05-16,4,Case_B_floor,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,5,Case_B_floor,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,6,Case_B_floor,62988.97675,62988.97675,0.0,0.0
2024-05-16,7,Case_B_floor,63377.05336,63377.05336,0.0,0.0
2024-05-16,8,Case_B_floor,64279.372975,64279.372975,0.0,0.0
2024-05-16,9,Case_B_floor,64352.79864,64352.79864,0.0,0.0
2024-05-16,10,Case_B_floor,63313.336890000006,63313.336890000006,0.0,0.0
2024-05-16,11,Case_B_floor,61801.3677275,61801.3677275,0.0,0.0
2024-05-16,12,Case_B_floor,57467.08805,57467.08805,0.0,0.0
2024-05-16,13,Case_B_floor,54459.582630000004,54459.582630000004,0.0,0.0
2024-05-16,14,Case_B_floor,56554.91146,56554.91146,0.0,0.0
2024-05-16,15,Case_B_floor,59473.1599,59473.1599,0.0,0.0
2024-05-16,16,Case_B_floor,62988.97675,62988.97675,0.0,0.0
2024-05-16,17,Case_B_floor,64354.1335575,64354.1335575,0.0,0.0
2024-05-16,18,Case_B_floor,65855.04684,65855.04684,0.0,0.0
2024-05-16,19,Case_B_floor,66612.91226000001,66612.91226000001,0.0,0.0
2024-05-16,20,Case_B_floor,66765.66495,66765.66495,0.0,0.0
2024-05-16,21,Case_B_floor,66745.09354999999,66745.09354999999,0.0,0.0
2024-05-16,22,Case_B_floor,66612.91226000001,66612.91226000001,0.0,0.0
2024-05-16,23,Case_B_floor,66523.2466675,66523.2466675,0.0,0.0
2024-05-16,24,Case_B_floor,65855.04684,65855.04684,0.0,0.0
2024-05-16,1,Case_C_mixed,63991.63435,63991.63435,0.0,0.0
2024-05-16,2,Case_C_mixed,63210.13003,63210.13003,0.0,0.0
2024-05-16,3,Case_C_mixed,62921.69588,62921.69588,0.0,0.0
2024-05-16,4,Case_C_mixed,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,5,Case_C_mixed,62307.997724999994,62307.997724999994,0.0,0.0
2024-05-16,6,Case_C_mixed,62988.97675,62988.97675,0.0,0.0
2024-05-16,7,Case_C_mixed,63377.05336,63377.05336,0.0,0.0
2024-05-16,8,Case_C_mixed,64279.372975,64279.372975,0.0,0.0
2024-05-16,9,Case_C_mixed,64352.79864,64352.79864,0.0,0.0
2024-05-16,10,Case_C_mixed,63313.336890000006,63313.336890000006,0.0,0.0
2024-05-16,11,Case_C_mixed,61801.3677275,61801.3677275,0.0,0.0
2024-05-16,12,Case_C_mixed,57467.08805,57467.08805,0.0,0.0
2024-05-16,13,Case_C_mixed,54459.582630000004,54459.582630000004,0.0,0.0
2024-05-16,14,Case_C_mixed,56554.91146,56554.91146,0.0,0.0
2024-05-16,15,Case_C_mixed,59473.1599,59473.1599,0.0,0.0
2024-05-16,16,Case_C_mixed,62988.97675,62988.97675,0.0,0.0
2024-05-16,17,Case_C_mixed,64354.1335575,64354.1335575,0.0,0.0
